BUSINESS_UNIT;TREE_NODE;AJ_TIPO_LOCA_ID;AJ_DESCR150;TREE_NODE_NUM;PARENT_NODE_NUM
AJM01;ESPTF06-HF01TE01;HIJO N1;TABLERO ELECTRICO HORNO;424174531;421944381
AJM01;ESPTF06-HF01TE02;HIJO N1;TABLERO TRANS LAMINA HORNO;424397546;421944381
AJM01;ESPTF06-SP01;PADRE;SELLADORA VERTICAL ;424620561;417484081
AJM01;ESPTF06-SP01TE01;HIJO N1;CAJA DE CONEXIONES SELLADORA VERTICAL;425512621;424620561
AJM01;ESPTF06-TB01;PADRE;TABLET ;425958651;417484081
AJM01;ESPTF06-TE01;PADRE;TABLERO PRINCIPAL ;426404681;417484081
AJM01;ESPTF06-TE01AA01;HIJO N1;AIRE ACONDICIONADO TABLERO PRINCIPAL;426850711;426404681
AJM01;ESPTF06-TQ01        ;PADRE;TROQUELADORA ;428188801;417484081
AJM01;ESPTF06-TQ01SH01;HIJO N1;SISTEM HIDRA TROQUEL;428634831;428188801
AJM01;ESPTF06-TQ01SN01;HIJO N1;SISTEM NEUM TROQUEL;428857846;428188801
AJM01;ESPTF07             ;LINEA;LINEA DE TERMOFORMADO 7;429080861;226583241
AJM01;ESPTF07-DE01        ;PADRE;DESEMBOBINADOR ;429972921;429080861
AJM01;ESPTF07-DE01ME01    ;HIJO N1;MOTOR DESEMBOBINADOR;430864981;429972921
AJM01;ESPTF07-DE01RD01    ;HIJO N1;REDUCTOR DESEMBOBINADOR;431757041;429972921
AJM01;ESPTF07-GL01        ;PADRE;GUILLOTINA ;432649101;429080861
AJM01;ESPTF07-HF01;PADRE;HORNO ELECTRICO ;433541161;429080861
AJM01;ESPTF07-HF01ME01    ;HIJO N1;MOTOR DE LA CADENA TRANS LAMINA HORNO;434433221;433541161
AJM01;ESPTF07-HF01RD01;HIJO N1;REDUCTOR DE LA CADENA TRANS LAMINA HORNO;435325281;433541161
AJM01;ESPTF07-HF01TE01;HIJO N1;TABLERO ELECTRICO HORNO;435771311;433541161
AJM01;ESPTF07-HF01TE02;HIJO N1;TABLERO TRANS LAMINA HORNO;435994326;433541161
AJM01;ESPTF07-TB01;PADRE;TABLET ;436105833;429080861
AJM01;ESPTF07-TE01;PADRE;TABLERO PRINCIPAL ;436217341;429080861
AJM01;ESPTF07-TE01AA01;HIJO N1;AIRE ACONDICIONADO TABLERO PRINCIPAL;436663371;436217341
AJM01;ESPTF07-TQ01        ;PADRE;TROQUELADORA ;438001461;429080861
AJM01;ESPTF07-TQ01SH01;HIJO N1;SISTEM HIDRA TROQUEL;438447491;438001461
AJM01;ESPTF07-TQ01SH01BP01;HIJO N2;BOMBA HIDRA SISTEM HIDRA;438670506;438447491
AJM01;ESPTF07-TQ01SH01BW01;HIJO N2;BLOWER SISTEM HIDRA;438782013;438447491
AJM01;ESPTF07-TQ01SH01IC01;HIJO N2;INTERCAMBIADOR SISTEM HIDRA;438837767;438447491
AJM01;ESPTF10             ;LINEA;LINEA DE TERMOFORMADO 10;438893521;226583241
AJM01;ESPTF10-DE01        ;PADRE;DESEMBOBINADOR ;439785581;438893521
AJM01;ESPTF10-DE01ME01    ;HIJO N1;MOTOR DESEMBOBINADOR;440677641;439785581
AJM01;ESPTF10-DE01RD01    ;HIJO N1;REDUCTOR DESEMBOBINADOR;441569701;439785581
AJM01;ESPTF10-EX01        ;PADRE;EXTRUSORA WELEX;442461761;438893521
AJM01;ESPTF10-EX01BG01    ;HIJO N1;BOMBA REFRIGERACION-EXTRUSORA;443353821;442461761
AJM01;ESPTF10-EX01BG01ME01;HIJO N2;MOTOR DE LA BOMBA - EXTRUSORA;444245881;443353821
AJM01;ESPTF10-EX01ME01    ;HIJO N1;MOTOR PRINCIPAL - EXTRUSORA;445137941;442461761
AJM01;ESPTF10-EX01ME01ME01;HIJO N2;BLOWER DEL MOTOR PRINCIPAL;446030001;445137941
AJM01;ESPTF10-EX01ME02    ;HIJO N1;MOTOR DE TRACCION PLATAFORMA;446922061;442461761
AJM01;ESPTF10-EX01RD01    ;HIJO N1;CAJA DE REDUCCION - EXTRUSORA;447814121;442461761
AJM01;ESPTF10-EX01RD02    ;HIJO N1;REDUCTOR 1(PIÑON)-TRACCION;448706181;442461761
AJM01;ESPTF10-EX01RD03    ;HIJO N1;REDUCTOR 2 (MOTOR)-TRACCION;449598241;442461761
AJM01;ESPTF10-EX01TE01    ;HIJO N1;TABLERO FUERZA (DRIVE MOTOR);450490301;442461761
AJM01;ESPTF10-EX01TE02    ;HIJO N1;TABLERO CONEX. MOLDE EXTRUSION;451382361;442461761
AJM01;ESPTF10-EX01TP01    ;HIJO N1;PANEL CNTRL/DISPLAY-EXTRUSORA;452274421;442461761
AJM01;ESPTF10-FM01        ;PADRE;FORMADORA ;453166481;438893521
AJM01;ESPTF10-FM01BV01    ;HIJO N1;BOMBA DE VACIO FORMADORA;454058541;453166481
AJM01;ESPTF10-FM01BV01ME01;HIJO N2;MOTOR BOMBA DE VACIO FORMADORA;454950601;454058541
AJM01;ESPTF10-FM01ME01    ;HIJO N1;MOTOR MOLDE SUPERIOR FORMADORA;455842661;453166481
AJM01;ESPTF10-FM01ME02;HIJO N1;MOTOR MOLDE INFERIOR FORMADORA;456734721;453166481
AJM01;ESPTF10-FM01ME03;HIJO N1;MOTOR DE LA CADENA TRANS LAMINA FORMADORA;457180751;453166481
AJM01;ESPTF10-FM01RD01    ;HIJO N1;REDUCTOR MOLDE FORMADORA;457626781;453166481
AJM01;ESPTF10-FM01RD02    ;HIJO N1;REDUCTOR MOLDE FORMADORA;458518841;453166481
AJM01;ESPTF10-FM01SR01;HIJO N1;CIRCUITO DE AGUA MOKON FORMADORA;459410901;453166481
AJM01;ESPTF10-FM01SR01BG01;HIJO N2;BOMBA MOKON FORMADORA;460302961;459410901
AJM01;ESPTF10-FM01SR01BG02;HIJO N2;BOMBA MOKON FORMADORA;461195021;459410901
AJM01;ESPTF10-FM01SR01ME01;HIJO N2;MOTOR BOMBA MOKON FORMADORA;462087081;459410901
AJM01;ESPTF10-FM01SR01ME02;HIJO N2;MOTOR BOMBA MOKON FORMADORA;462979141;459410901
AJM01;ESPTF10-FM01SR01TE01;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;463425171;459410901
AJM01;ESPTF10-FM01SR01TE02;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;463648186;459410901
AJM01;ESPTF10-FM01TE01;HIJO N1;CAJA DE PASO ARRANQUE Y PARADA TRANS LAMINA FORMADORA;463759693;453166481
AJM01;ESPTF10-FM01TE02;HIJO N1;CAJA DE CONEXIONES IZQ TRANS LAMINA FORMADORA;463815447;453166481
AJM01;ESPTF10-FM01TE03;HIJO N1;CAJA DE CONEXIONES DER TRANS LAMINA FORMADORA;463843324;453166481
AJM01;ESPTF10-HF01        ;PADRE;HORNO ELECTRICO ;463871201;438893521
AJM01;ESPTF10-ML01        ;PADRE;MOLINO ;465655321;438893521
AJM01;ESPTF10-ML01ME01    ;HIJO N1;MOTOR MOLINO;466547381;465655321
AJM01;ESPTF10-ML01ME02    ;HIJO N1;MOTOR DEL BLOWER MOLINO;467439441;465655321
AJM01;ESPTF10-ML01RD01    ;HIJO N1;REDUCTOR MOLINO;468331501;465655321
AJM01;ESPTF10-MX01        ;PADRE;MOLDE DE EXTRUSION-EXTRUSORA;469223561;438893521
AJM01;ESPTF10-RH01        ;PADRE;RODILLOS HALADORES;470115621;438893521
AJM01;ESPTF10-RH01ME01    ;HIJO N1;MOTOR RODILLOS HALADORES;471007681;470115621
